broad_sample	Name	Vector	Transcript	Symbol	NCBI Gene ID	Taxon ID	Gene Description	Annot. Gene Symbol	Annot. Gene ID	Prot Match %	MOI	Virus / ml	Insert Length	pert_type	control_type
ccsbBroad304_00587	ORF008407.1_TRC304.1	pLX_304	NM_005253.4	FOSL2	2355	9606	FOS like 2, AP-1 transcription factor subunit	FOSL2	2355	100.0			978.0	trt	
ccsbBroad304_11571	ORF008884.1_TRC304.1	pLX_304	NM_001318833.1	EHMT2	10919	9606	euchromatic histone lysine methyltransferase 2	EHMT2	10919	99.3			3003.0	trt	
ccsbBroad304_04690	ORF004172.1_TRC304.1	pLX_304	NM_138783.4	ZNF653	115950	9606	zinc finger protein 653	ZNF653	115950	100.0			1845.0	trt	
ccsbBroad304_02300	ORF015550.1_TRC304.1	pLX_304	NM_001130102.3	NR1H3	10062	9606	nuclear receptor subfamily 1 group H member 3	NR1H3	10062	100.0			1206.0	trt	
ccsbBroad304_09382	ORF012765.1_TRC304.1	pLX_304	NM_138415.5	PHF21B	112885	9606	PHD finger protein 21B	PHF21B	112885	99.8			1593.0	trt	
ccsbBroad304_04033	ORF017634.1_TRC304.1	pLX_304	NM_024070.3	PVRIG	79037	9606	PVR related immunoglobulin domain containing	PVRIG	79037	100.0			978.0	trt	
ccsbBroad304_04801	ORF016844.1_TRC304.1	pLX_304	NM_213598.4	ZNF543	125919	9606	zinc finger protein 543	ZNF543	125919	100.0			1800.0	trt	
ccsbBroad304_11490	ORF006473.1_TRC304.1	pLX_304	XM_024451326.1	HMG20B	10362	9606	high mobility group 20B	HMG20B	10362	100.0			645.0	trt	
ccsbBroad304_09590	ORF003760.1_TRC304.1	pLX_304	NM_020828.2	ZFP28	140612	9606	ZFP28 zinc finger protein	ZFP28	140612	99.7			2604.0	trt	
ccsbBroad304_07711	ORF012863.1_TRC304.1	pLX_304	NM_078629.4	MSL3	10943	9606	MSL complex subunit 3	MSL3	10943	99.8			1563.0	trt	
ccsbBroad304_02285	ORF003517.1_TRC304.1	pLX_304	NM_005466.3	MED6	10001	9606	mediator complex subunit 6	MED6	10001	100.0			738.0	trt	
ccsbBroad304_10727	ORF010092.1_TRC304.1	pLX_304	NM_001363763.2	CDKN2A	1029	9606	cyclin dependent kinase inhibitor 2A	CDKN2A	1029	100.0			315.0	trt	
ccsbBroad304_11597	ORF012213.1_TRC304.1	pLX_304	NM_001300823.1	PRDM5	11107	9606	PR/SET domain 5	PRDM5	11107	100.0			1797.0	trt	
ccsbBroad304_07633	ORF009202.1_TRC304.1	pLX_304	NM_001098522.1	HTATIP2	10553	9606	HIV-1 Tat interactive protein 2	HTATIP2	10553	99.5			726.0	trt	
ccsbBroad304_13180	ORF002498.1_TRC304.1	pLX_304	NM_153216.2	POU5F2	134187	9606	POU domain class 5, transcription factor 2	POU5F2	134187	92.6			912.0	trt	
ccsbBroad304_02528	ORF017645.1_TRC304.1	pLX_304	NM_006635.4	ZNF460	10794	9606	zinc finger protein 460	ZNF460	10794	100.0			1686.0	trt	
ccsbBroad304_10749	ORF017880.1_TRC304.1	pLX_304	NM_001256094.1	ATF2	1386	9606	activating transcription factor 2	ATF2	1386	100.0			627.0	trt	
ccsbBroad304_02589	ORF002051.1_TRC304.1	pLX_304	NM_006837.3	COPS5	10987	9606	COP9 signalosome subunit 5	COPS5	10987	100.0			1002.0	trt	
ccsbBroad304_09592	ORF001124.1_TRC304.1	pLX_304	NM_001269040.1	CTCFL	140690	9606	CCCTC-binding factor like	CTCFL	140690	99.8			1989.0	trt	
ccsbBroad304_11477	ORF006866.1_TRC304.1	pLX_304	NM_005870.4	SAP18	10284	9606	Sin3A associated protein 18	SAP18	10284	88.3			459.0	trt	
ccsbBroad304_09425	ORF004195.1_TRC304.1	pLX_304	NM_178841.4	RNF166	115992	9606	ring finger protein 166	RNF166	115992	99.5			711.0	trt	
ccsbBroad304_02299	ORF004627.1_TRC304.1	pLX_304	NM_001130101.3	NR1H3	10062	9606	nuclear receptor subfamily 1 group H member 3	NR1H3	10062	100.0			1161.0	trt	
ccsbBroad304_04794	ORF003915.1_TRC304.1	pLX_304	NM_153018.3	ZFP3	124961	9606	ZFP3 zinc finger protein	ZFP3	124961	100.0			1506.0	trt	
ccsbBroad304_11445	ORF000802.1_TRC304.1	pLX_304	NM_001321231.2	HDAC6	10013	9606	histone deacetylase 6	HDAC6	10013	100.0			438.0	trt	
ccsbBroad304_06021	ORF014251.1_TRC304.1	pLX_304	NM_001300.6	KLF6	1316	9606	Kruppel like factor 6	KLF6	1316	100.0			849.0	trt	
ccsbBroad304_13352	ORF007973.1_TRC304.1	pLX_304	NM_001287256.1	ZNF596	169270	9606	zinc finger protein 596	ZNF596	169270	98.6			1494.0	trt	
ccsbBroad304_14102	ORF011124.1_TRC304.1	pLX_304	NM_001308237.1	ZZZ3	26009	9606	zinc finger ZZ-type containing 3	ZZZ3	26009	99.0			1227.0	trt	
ccsbBroad304_99991	ORFC00003.1_TRC304.1	pLX_304	promegaLuc.1	LUCIFERASE	LUCIFERASE	CONTROL	promegaLuc	Luciferase	Luciferase	100.0			1650.0	control	negcon
ccsbBroad304_02871	ORF014273.1_TRC304.1	pLX_304	NM_003419.4	ZNF345	25850	9606	zinc finger protein 345	ZNF345	25850	100.0			1464.0	trt	
ccsbBroad304_05142	ORF008428.1_TRC304.1	pLX_304	NM_175747.2	OLIG3	167826	9606	oligodendrocyte transcription factor 3	OLIG3	167826	100.0			816.0	trt	
ccsbBroad304_10826	ORF003164.1_TRC304.1	pLX_304	BC008899.2	FOSL2	2355	9606		FOSL2	2355				366.0	trt	
ccsbBroad304_13355	ORF003196.1_TRC304.1	pLX_304	XM_017014364.1	ZNF169	169841	9606	zinc finger protein 169	ZNF169	169841	100.0			1770.0	trt	
ccsbBroad304_00521	ORF013228.1_TRC304.1	pLX_304	NM_004454.3	ETV5	2119	9606	ETS variant transcription factor 5	ETV5	2119	100.0			1530.0	trt	
ccsbBroad304_15409	ORF004796.1_TRC304.1	pLX_304	BC015869.1	EPAS1	2034	9606		EPAS1	2034				303.0	trt	
ccsbBroad304_02858	ORF013393.1_TRC304.1	pLX_304	NM_012476.3	VAX2	25806	9606	ventral anterior homeobox 2	VAX2	25806	100.0			870.0	trt	
ccsbBroad304_00488	ORF001715.1_TRC304.1	pLX_304	NM_004430.3	EGR3	1960	9606	early growth response 3	EGR3	1960	100.0			1161.0	trt	
ccsbBroad304_00520	ORF012678.1_TRC304.1	pLX_304	NM_001370555.1	ETV1	2115	9606	ETS variant transcription factor 1	ETV1	2115	100.0			1431.0	trt	
ccsbBroad304_10796	ORF006184.1_TRC304.1	pLX_304	XM_017018958.1	PHC1	1911	9606	polyhomeotic homolog 1	PHC1	1911	47.1			1341.0	trt	
ccsbBroad304_02855	ORF009137.1_TRC304.1	pLX_304	NM_012391.3	SPDEF	25803	9606	SAM pointed domain containing ETS transcription factor	SPDEF	25803	100.0			1005.0	trt	
ccsbBroad304_10793	ORF016895.1_TRC304.1	pLX_304	XR_002956265.1	E2F3	1871	9606	E2F transcription factor 3	E2F3	1871				399.0	trt	
ccsbBroad304_15424	ORF011104.1_TRC304.1	pLX_304	BC006839.1	GATA3	2625	9606		GATA3	2625				123.0	trt	
ccsbBroad304_16114	ORF012559.1_TRC304.1	pLX_304	XM_011526568.2	ZNF550	162972	9606	zinc finger protein 550	ZNF550	162972	100.0			1239.0	trt	
ccsbBroad304_02924	ORF008196.1_TRC304.1	pLX_304	NM_015651.3	PHF19	26147	9606	PHD finger protein 19	PHF19	26147	100.0			1740.0	trt	
ccsbBroad304_05152	ORF015105.1_TRC304.1	pLX_304	NM_032627.5	SSBP4	170463	9606	single stranded DNA binding protein 4	SSBP4	170463	100.0			1155.0	trt	
ccsbBroad304_07885	ORF007307.1_TRC304.1	pLX_304	NM_012234.6	RYBP	23429	9606	RING1 and YY1 binding protein	RYBP	23429	99.5			684.0	trt	
ccsbBroad304_15391	ORF017043.1_TRC304.1	pLX_304	NM_001321014.2	CTBP2	1488	9606	C-terminal binding protein 2	CTBP2	1488	100.0			1335.0	trt	
ccsbBroad304_06259	ORF001570.1_TRC304.1	pLX_304	NM_001145662.1	GATA2	2624	9606	GATA binding protein 2	GATA2	2624	100.0			1398.0	trt	
ccsbBroad304_11531	ORF011345.1_TRC304.1	pLX_304	NM_006473.4	TAF6L	10629	9606	TATA-box binding protein associated factor 6 like	TAF6L	10629	73.7			1377.0	trt	
BAD CONSTRUCT	BAD CONSTRUCT	pLX_304												trt	
ccsbBroad304_07683	ORF016436.1_TRC304.1	pLX_304	NM_003415.3	ZNF268	10795	9606	zinc finger protein 268	ZNF268	10795	99.8			2841.0	trt	
ccsbBroad304_04732	ORF004569.1_TRC304.1	pLX_304	NM_001346935.2	ZNF488	118738	9606	zinc finger protein 488	ZNF488	118738	100.0			1020.0	trt	
ccsbBroad304_02433	ORF006204.1_TRC304.1	pLX_304	NM_001190263.2	C1D	10438	9606	C1D nuclear receptor corepressor	C1D	10438	100.0			423.0	trt	
ccsbBroad304_00360	ORF000135.1_TRC304.1	pLX_304	NM_134442.5	CREB1	1385	9606	cAMP responsive element binding protein 1	CREB1	1385	100.0			1023.0	trt	
ccsbBroad304_11530	ORF007885.1_TRC304.1	pLX_304	NM_006465.4	ARID3B	10620	9606	AT-rich interaction domain 3B	ARID3B	10620	41.2			759.0	trt	
ccsbBroad304_02621	ORF012233.1_TRC304.1	pLX_304	XM_017022884.1	PRDM7	11105	9606	PR/SET domain 7	PRDM7	11105	38.8			513.0	trt	
ccsbBroad304_11543	ORF006905.1_TRC304.1	pLX_304	NM_001323047.1	PHTF1	10745	9606	putative homeodomain transcription factor 1	PHTF1	10745	100.0			1911.0	trt	
ccsbBroad304_11596	ORF003218.1_TRC304.1	pLX_304	XM_005262708.3	PRDM5	11107	9606	PR/SET domain 5	PRDM5	11107	28.4			333.0	trt	
ccsbBroad304_02372	ORF003364.1_TRC304.1	pLX_304	NM_001258039.1	SPRY1	10252	9606	sprouty RTK signaling antagonist 1	SPRY1	10252	100.0			957.0	trt	
ccsbBroad304_02322	ORF002561.1_TRC304.1	pLX_304	NM_005741.5	ZNF263	10127	9606	zinc finger protein 263	ZNF263	10127	100.0			2049.0	trt	
ccsbBroad304_02618	ORF018341.1_TRC304.1	pLX_304	NM_080796.3	DIDO1	11083	9606	death inducer-obliterator 1	DIDO1	11083	100.0			1686.0	trt	
ccsbBroad304_08911	ORF017149.1_TRC304.1	pLX_304	NM_024070.3	PVRIG	79037	9606	PVR related immunoglobulin domain containing	PVRIG	79037	99.6			978.0	trt	
ccsbBroad304_07760	ORF001941.1_TRC304.1	pLX_304	NM_007067.5	KAT7	11143	9606	lysine acetyltransferase 7	KAT7	11143	100.0			1833.0	trt	
ccsbBroad304_07631	ORF011830.1_TRC304.1	pLX_304	NM_006399.5	BATF	10538	9606	basic leucine zipper ATF-like transcription factor	BATF	10538	99.2			375.0	trt	
ccsbBroad304_04827	ORF006167.1_TRC304.1	pLX_304	NM_153035.3	TCEANC2	127428	9606	transcription elongation factor A N-terminal and central domain containing 2	TCEANC2	127428	100.0			624.0	trt	
ccsbBroad304_07617	ORF003648.1_TRC304.1	pLX_304	NM_006353.3	HMGN4	10473	9606	high mobility group nucleosomal binding domain 4	HMGN4	10473	100.0			270.0	trt	
ccsbBroad304_13232	ORF006396.1_TRC304.1	pLX_304	NM_152455.3	ZSCAN29	146050	9606	zinc finger and SCAN domain containing 29	ZSCAN29	146050	54.2			1386.0	trt	
ccsbBroad304_11557	ORF003601.1_TRC304.1	pLX_304	NM_006666.3	RUVBL2	10856	9606	RuvB like AAA ATPase 2	RUVBL2	10856	44.5			777.0	trt	
ccsbBroad304_06036	ORF003887.1_TRC304.1	pLX_304	NM_001881.3	CREM	1390	9606	cAMP responsive element modulator	CREM	1390	99.2			411.0	trt	
ccsbBroad304_11446	ORF002139.1_TRC304.1	pLX_304	NM_001321229.1	HDAC6	10013	9606	histone deacetylase 6	HDAC6	10013	87.4			3189.0	trt	
ccsbBroad304_11601	ORF006299.1_TRC304.1	pLX_304	NM_007062.3	PWP1	11137	9606	PWP1 homolog, endonuclein	PWP1	11137	27.2			441.0	trt	
ccsbBroad304_09671	ORF014486.1_TRC304.1	pLX_304	NM_198274.4	SMYD1	150572	9606	SET and MYND domain containing 1	SMYD1	150572	100.0			1470.0	trt	
ccsbBroad304_11638	ORF006993.1_TRC304.1	pLX_304	XM_006719294.4	MLXIP	22877	9606	MLX interacting protein	MLXIP	22877	29.5			651.0	trt	
ccsbBroad304_09689	ORF013184.1_TRC304.1	pLX_304	NM_182524.4	ZNF595	152687	9606	zinc finger protein 595	ZNF595	152687	99.6			1944.0	trt	
ccsbBroad304_15411	ORF012586.1_TRC304.1	pLX_304	NM_005239.6	ETS2	2114	9606	ETS proto-oncogene 2, transcription factor	ETS2	2114	100.0			1407.0	trt	
ccsbBroad304_05000	ORF007428.1_TRC304.1	pLX_304	NM_153219.4	ZNF524	147807	9606	zinc finger protein 524	ZNF524	147807	100.0			792.0	trt	
ccsbBroad304_11768	ORF012928.1_TRC304.1	pLX_304	NM_014347.3	ZNF324	25799	9606	zinc finger protein 324	ZNF324	25799	50.3			858.0	trt	
ccsbBroad304_05733	ORF015027.1_TRC304.1	pLX_304	NM_001354366.1	ELOA3C	107983955	9606	elongin A3 family member C	ELOA3B	728929	100.0			1638.0	trt	
ccsbBroad304_02956	ORF000350.1_TRC304.1	pLX_304	NM_012153.6	EHF	26298	9606	ETS homologous factor	EHF	26298	100.0			900.0	trt	
ccsbBroad304_00497	ORF016375.1_TRC304.1	pLX_304	NM_001422.4	ELF5	2001	9606	E74 like ETS transcription factor 5	ELF5	2001	100.0			765.0	trt	
ccsbBroad304_14078	ORF004885.1_TRC304.1	pLX_304	NM_015288.6	JADE2	23338	9606	jade family PHD finger 2	JADE2	23338	30.8			738.0	trt	
ccsbBroad304_05002	ORF018408.1_TRC304.1	pLX_304	NM_145276.3	ZNF563	147837	9606	zinc finger protein 563	ZNF563	147837	100.0			1428.0	trt	
ccsbBroad304_02688	ORF011563.1_TRC304.1	pLX_304	NM_001164392.1	MTF2	22823	9606	metal response element binding transcription factor 2	MTF2	22823	100.0			1608.0	trt	
ccsbBroad304_09790	ORF007292.1_TRC304.1	pLX_304	NM_001286246.2	DTX3	196403	9606	deltex E3 ubiquitin ligase 3	DTX3	196403	100.0			1041.0	trt	
ccsbBroad304_02737	ORF017231.1_TRC304.1	pLX_304	NM_015167.2	JMJD6	23210	9606	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	JMJD6	23210	100.0			1209.0	trt	
ccsbBroad304_05121	ORF003690.1_TRC304.1	pLX_304	NM_145288.3	ZNF296	162979	9606	zinc finger protein 296	ZNF296	162979	100.0			1425.0	trt	
ccsbBroad304_07884	ORF009734.1_TRC304.1	pLX_304	NM_012234.6	RYBP	23429	9606	RING1 and YY1 binding protein	RYBP	23429	100.0			684.0	trt	
ccsbBroad304_09656	ORF005941.1_TRC304.1	pLX_304	NM_152791.5	ZNF555	148254	9606	zinc finger protein 555	ZNF555	148254	99.5			1884.0	trt	
ccsbBroad304_02889	ORF010172.1_TRC304.1	pLX_304	NM_001348362.1	WWTR1	25937	9606	WW domain containing transcription regulator 1	WWTR1	25937	100.0			1200.0	trt	
ccsbBroad304_05005	ORF018133.1_TRC304.1	pLX_304	NM_144690.3	ZNF582	147948	9606	zinc finger protein 582	ZNF582	147948	100.0			1551.0	trt	
ccsbBroad304_06260	ORF013485.1_TRC304.1	pLX_304	NM_001002295.2	GATA3	2625	9606	GATA binding protein 3	GATA3	2625	99.7			1332.0	trt	
ccsbBroad304_00514	ORF013417.1_TRC304.1	pLX_304	NM_006494.4	ERF	2077	9606	ETS2 repressor factor	ERF	2077	100.0			1644.0	trt	
ccsbBroad304_11803	ORF013718.1_TRC304.1	pLX_304	XM_011514462.3	ZNF451	26036	9606	zinc finger protein 451	ZNF451	26036	97.7			2796.0	trt	
ccsbBroad304_10758	ORF010903.1_TRC304.1	pLX_304	NM_001363508.2	CTBP2	1488	9606	C-terminal binding protein 2	CTBP2	1488	99.8			1539.0	trt	
ccsbBroad304_99994	ORFC00004.1_TRC304.1	pLX_304	LacZ.1	LacZ	LacZ	CONTROL	Hahn Lab LacZ	LacZ	LacZ	100.0			3204.0	control	negcon
ccsbBroad304_02516	ORF004023.1_TRC304.1	pLX_304	NM_006603.5	STAG2	10735	9606	stromal antigen 2	STAG2	10735	100.0			3693.0	trt	
ccsbBroad304_09578	ORF001742.1_TRC304.1	pLX_304	NM_173493.3	PASD1	139135	9606	PAS domain containing repressor 1	PASD1	139135	100.0			2319.0	trt	
ccsbBroad304_09430	ORF017363.1_TRC304.1	pLX_304	NM_138462.3	ZMYND19	116225	9606	zinc finger MYND-type containing 19	ZMYND19	116225	100.0			681.0	trt	
ccsbBroad304_02499	ORF004542.1_TRC304.1	pLX_304	NM_006565.4	CTCF	10664	9606	CCCTC-binding factor	CTCF	10664	100.0			2181.0	trt	
ccsbBroad304_02566	ORF005264.1_TRC304.1	pLX_304	NM_006791.4	MORF4L1	10933	9606	mortality factor 4 like 1	MORF4L1	10933	100.0			969.0	trt	
ccsbBroad304_13061	ORF008208.1_TRC304.1	pLX_304	NM_001139515.1	DACH2	117154	9606	dachshund family transcription factor 2	DACH2	117154	91.3			1395.0	trt	
ccsbBroad304_02446	ORF003587.1_TRC304.1	pLX_304	NM_001278270.1	TADA3	10474	9606	transcriptional adaptor 3	TADA3	10474	100.0			1296.0	trt	
ccsbBroad304_07783	ORF003519.1_TRC304.1	pLX_304	NM_001199663.1	PMF1-BGLAP	100527963	9606	PMF1-BGLAP readthrough	PMF1	11243	99.4			525.0	trt	
ccsbBroad304_07704	ORF000979.1_TRC304.1	pLX_304	NM_006713.4	SUB1	10923	9606	SUB1 regulator of transcription	SUB1	10923	99.2			381.0	trt	
ccsbBroad304_09497	ORF006923.1_TRC304.1	pLX_304	NM_173480.3	ZNF57	126295	9606	zinc finger protein 57	ZNF57	126295	100.0			1665.0	trt	
ccsbBroad304_11443	ORF013862.1_TRC304.1	pLX_304	NM_014249.4	NR2E3	10002	9606	nuclear receptor subfamily 2 group E member 3	NR2E3	10002	78.5			966.0	trt	
ccsbBroad304_10744	ORF006578.1_TRC304.1	pLX_304	NM_001300.6	KLF6	1316	9606	Kruppel like factor 6	KLF6	1316	91.8			780.0	trt	
ccsbBroad304_15701	ORF015518.1_TRC304.1	pLX_304	NM_003414.6	ZNF267	10308	9606	zinc finger protein 267	ZNF267	10308	99.7			2229.0	trt	
ccsbBroad304_07784	ORF001961.1_TRC304.1	pLX_304	NM_007221.3	PMF1	11243	9606	polyamine modulated factor 1	PMF1	11243	99.0			615.0	trt	
ccsbBroad304_07678	ORF001452.1_TRC304.1	pLX_304	NM_006631.3	ZNF266	10781	9606	zinc finger protein 266	ZNF266	10781	100.0			1647.0	trt	
ccsbBroad304_11608	ORF017728.1_TRC304.1	pLX_304	NM_021994.3	ZNF277	11179	9606	zinc finger protein 277	ZNF277	11179	57.3			834.0	trt	
ccsbBroad304_11528	ORF012366.1_TRC304.1	pLX_304	NM_006454.3	MXD4	10608	9606	MAX dimerization protein 4	MXD4	10608	26.3			174.0	trt	
ccsbBroad304_04754	ORF016428.1_TRC304.1	pLX_304	NM_152323.3	SPIC	121599	9606	Spi-C transcription factor	SPIC	121599	100.0			744.0	trt	
ccsbBroad304_02373	ORF005219.1_TRC304.1	pLX_304	NM_001318536.1	SPRY2	10253	9606	sprouty RTK signaling antagonist 2	SPRY2	10253	100.0			945.0	trt	
ccsbBroad304_07793	ORF008245.1_TRC304.1	pLX_304	NM_007249.4	KLF12	11278	9606	Kruppel like factor 12	KLF12	11278	100.0			1206.0	trt	
